Source,Target,Weight
AJ Finch,DA Warner,7
AJ Finch,SPD Smith,5
AJ Finch,TM Head,6
AJ Finch,CA Lynn,2
AJ Finch,SR Watson,5
AJ Finch,MS Wade,2
AJ Finch,JP Faulkner,8
AJ Finch,KW Richardson,1
AJ Finch,CJ Boyce,1
AJ Finch,SW Tait,1
AJ Finch,SE Marsh,1
AJ Finch,GJ Maxwell,7
AJ Finch,JW Hastings,3
AJ Finch,AJ Tye,6
AJ Finch,SM Boland,1
AJ Finch,NM Lyon,1
AJ Finch,UT Khawaja,3
AJ Finch,CT Bancroft,0
AJ Finch,MR Marsh,2
AJ Finch,PM Nevill,4
AJ Finch,NM Coulter-Nile,5
AJ Finch,A Zampa,7
AJ Finch,JR Hazlewood,3
AJ Finch,GJ Bailey,0
AJ Finch,MC Henriques,5
AJ Finch,MA Starc,0
AJ Finch,PJ Cummins,3
AJ Finch,DT Christian,1
DA Warner,SPD Smith,8
DA Warner,TM Head,5
DA Warner,CA Lynn,1
DA Warner,SR Watson,7
DA Warner,MS Wade,2
DA Warner,JP Faulkner,9
DA Warner,KW Richardson,1
DA Warner,CJ Boyce,1
DA Warner,SW Tait,1
DA Warner,SE Marsh,0
DA Warner,GJ Maxwell,11
DA Warner,JW Hastings,5
DA Warner,AJ Tye,3
DA Warner,SM Boland,1
DA Warner,NM Lyon,0
DA Warner,UT Khawaja,8
DA Warner,CT Bancroft,0
DA Warner,MR Marsh,5
DA Warner,PM Nevill,9
DA Warner,NM Coulter-Nile,8
DA Warner,A Zampa,10
DA Warner,JR Hazlewood,3
DA Warner,GJ Bailey,1
DA Warner,MC Henriques,4
DA Warner,MA Starc,2
DA Warner,PJ Cummins,0
DA Warner,DT Christian,1
SPD Smith,TM Head,1
SPD Smith,CA Lynn,1
SPD Smith,SR Watson,7
SPD Smith,MS Wade,1
SPD Smith,JP Faulkner,7
SPD Smith,KW Richardson,1
SPD Smith,CJ Boyce,1
SPD Smith,SW Tait,1
SPD Smith,SE Marsh,0
SPD Smith,GJ Maxwell,7
SPD Smith,JW Hastings,4
SPD Smith,AJ Tye,1
SPD Smith,SM Boland,0
SPD Smith,NM Lyon,0
SPD Smith,UT Khawaja,6
SPD Smith,CT Bancroft,0
SPD Smith,MR Marsh,5
SPD Smith,PM Nevill,7
SPD Smith,NM Coulter-Nile,6
SPD Smith,A Zampa,6
SPD Smith,JR Hazlewood,3
SPD Smith,GJ Bailey,0
SPD Smith,MC Henriques,0
SPD Smith,MA Starc,0
SPD Smith,PJ Cummins,0
SPD Smith,DT Christian,0
TM Head,CA Lynn,2
TM Head,SR Watson,2
TM Head,MS Wade,2
TM Head,JP Faulkner,6
TM Head,KW Richardson,1
TM Head,CJ Boyce,2
TM Head,SW Tait,2
TM Head,SE Marsh,1
TM Head,GJ Maxwell,5
TM Head,JW Hastings,1
TM Head,AJ Tye,5
TM Head,SM Boland,2
TM Head,NM Lyon,0
TM Head,UT Khawaja,3
TM Head,CT Bancroft,1
TM Head,MR Marsh,0
TM Head,PM Nevill,2
TM Head,NM Coulter-Nile,2
TM Head,A Zampa,6
TM Head,JR Hazlewood,0
TM Head,GJ Bailey,1
TM Head,MC Henriques,7
TM Head,MA Starc,2
TM Head,PJ Cummins,3
TM Head,DT Christian,1
CA Lynn,SR Watson,3
CA Lynn,MS Wade,2
CA Lynn,JP Faulkner,2
CA Lynn,KW Richardson,1
CA Lynn,CJ Boyce,2
CA Lynn,SW Tait,2
CA Lynn,SE Marsh,2
CA Lynn,GJ Maxwell,2
CA Lynn,JW Hastings,1
CA Lynn,AJ Tye,2
CA Lynn,SM Boland,2
CA Lynn,NM Lyon,1
CA Lynn,UT Khawaja,1
CA Lynn,CT Bancroft,1
CA Lynn,MR Marsh,0
CA Lynn,PM Nevill,0
CA Lynn,NM Coulter-Nile,0
CA Lynn,A Zampa,0
CA Lynn,JR Hazlewood,0
CA Lynn,GJ Bailey,0
CA Lynn,MC Henriques,0
CA Lynn,MA Starc,0
CA Lynn,PJ Cummins,0
CA Lynn,DT Christian,0
SR Watson,MS Wade,2
SR Watson,JP Faulkner,8
SR Watson,KW Richardson,1
SR Watson,CJ Boyce,2
SR Watson,SW Tait,2
SR Watson,SE Marsh,2
SR Watson,GJ Maxwell,8
SR Watson,JW Hastings,4
SR Watson,AJ Tye,2
SR Watson,SM Boland,2
SR Watson,NM Lyon,1
SR Watson,UT Khawaja,6
SR Watson,CT Bancroft,1
SR Watson,MR Marsh,4
SR Watson,PM Nevill,6
SR Watson,NM Coulter-Nile,5
SR Watson,A Zampa,5
SR Watson,JR Hazlewood,3
SR Watson,GJ Bailey,0
SR Watson,MC Henriques,0
SR Watson,MA Starc,0
SR Watson,PJ Cummins,0
SR Watson,DT Christian,0
MS Wade,JP Faulkner,3
MS Wade,KW Richardson,1
MS Wade,CJ Boyce,1
MS Wade,SW Tait,1
MS Wade,SE Marsh,1
MS Wade,GJ Maxwell,2
MS Wade,JW Hastings,2
MS Wade,AJ Tye,1
MS Wade,SM Boland,1
MS Wade,NM Lyon,1
MS Wade,UT Khawaja,1
MS Wade,CT Bancroft,0
MS Wade,MR Marsh,0
MS Wade,PM Nevill,1
MS Wade,NM Coulter-Nile,0
MS Wade,A Zampa,1
MS Wade,JR Hazlewood,0
MS Wade,GJ Bailey,0
MS Wade,MC Henriques,1
MS Wade,MA Starc,1
MS Wade,PJ Cummins,0
MS Wade,DT Christian,0
JP Faulkner,KW Richardson,1
JP Faulkner,CJ Boyce,1
JP Faulkner,SW Tait,1
JP Faulkner,SE Marsh,1
JP Faulkner,GJ Maxwell,9
JP Faulkner,JW Hastings,5
JP Faulkner,AJ Tye,3
JP Faulkner,SM Boland,2
JP Faulkner,NM Lyon,1
JP Faulkner,UT Khawaja,7
JP Faulkner,CT Bancroft,0
JP Faulkner,MR Marsh,4
JP Faulkner,PM Nevill,8
JP Faulkner,NM Coulter-Nile,5
JP Faulkner,A Zampa,9
JP Faulkner,JR Hazlewood,3
JP Faulkner,GJ Bailey,1
JP Faulkner,MC Henriques,5
JP Faulkner,MA Starc,2
JP Faulkner,PJ Cummins,3
JP Faulkner,DT Christian,0
KW Richardson,CJ Boyce,1
KW Richardson,SW Tait,1
KW Richardson,SE Marsh,0
KW Richardson,GJ Maxwell,0
KW Richardson,JW Hastings,0
KW Richardson,AJ Tye,0
KW Richardson,SM Boland,0
KW Richardson,NM Lyon,0
KW Richardson,UT Khawaja,0
KW Richardson,CT Bancroft,0
KW Richardson,MR Marsh,0
KW Richardson,PM Nevill,0
KW Richardson,NM Coulter-Nile,0
KW Richardson,A Zampa,0
KW Richardson,JR Hazlewood,0
KW Richardson,GJ Bailey,0
KW Richardson,MC Henriques,0
KW Richardson,MA Starc,0
KW Richardson,PJ Cummins,0
KW Richardson,DT Christian,0
CJ Boyce,SW Tait,2
CJ Boyce,SE Marsh,1
CJ Boyce,GJ Maxwell,1
CJ Boyce,JW Hastings,0
CJ Boyce,AJ Tye,1
CJ Boyce,SM Boland,1
CJ Boyce,NM Lyon,0
CJ Boyce,UT Khawaja,1
CJ Boyce,CT Bancroft,1
CJ Boyce,MR Marsh,0
CJ Boyce,PM Nevill,0
CJ Boyce,NM Coulter-Nile,0
CJ Boyce,A Zampa,0
CJ Boyce,JR Hazlewood,0
CJ Boyce,GJ Bailey,0
CJ Boyce,MC Henriques,0
CJ Boyce,MA Starc,0
CJ Boyce,PJ Cummins,0
CJ Boyce,DT Christian,0
SW Tait,SE Marsh,1
SW Tait,GJ Maxwell,1
SW Tait,JW Hastings,0
SW Tait,AJ Tye,1
SW Tait,SM Boland,1
SW Tait,NM Lyon,0
SW Tait,UT Khawaja,1
SW Tait,CT Bancroft,1
SW Tait,MR Marsh,0
SW Tait,PM Nevill,0
SW Tait,NM Coulter-Nile,0
SW Tait,A Zampa,0
SW Tait,JR Hazlewood,0
SW Tait,GJ Bailey,0
SW Tait,MC Henriques,0
SW Tait,MA Starc,0
SW Tait,PJ Cummins,0
SW Tait,DT Christian,0
SE Marsh,GJ Maxwell,2
SE Marsh,JW Hastings,1
SE Marsh,AJ Tye,2
SE Marsh,SM Boland,2
SE Marsh,NM Lyon,1
SE Marsh,UT Khawaja,1
SE Marsh,CT Bancroft,1
SE Marsh,MR Marsh,0
SE Marsh,PM Nevill,0
SE Marsh,NM Coulter-Nile,0
SE Marsh,A Zampa,0
SE Marsh,JR Hazlewood,0
SE Marsh,GJ Bailey,0
SE Marsh,MC Henriques,0
SE Marsh,MA Starc,0
SE Marsh,PJ Cummins,0
SE Marsh,DT Christian,0
GJ Maxwell,JW Hastings,6
GJ Maxwell,AJ Tye,5
GJ Maxwell,SM Boland,3
GJ Maxwell,NM Lyon,1
GJ Maxwell,UT Khawaja,9
GJ Maxwell,CT Bancroft,1
GJ Maxwell,MR Marsh,5
GJ Maxwell,PM Nevill,9
GJ Maxwell,NM Coulter-Nile,8
GJ Maxwell,A Zampa,10
GJ Maxwell,JR Hazlewood,3
GJ Maxwell,GJ Bailey,1
GJ Maxwell,MC Henriques,4
GJ Maxwell,MA Starc,2
GJ Maxwell,PJ Cummins,0
GJ Maxwell,DT Christian,1
JW Hastings,AJ Tye,2
JW Hastings,SM Boland,1
JW Hastings,NM Lyon,1
JW Hastings,UT Khawaja,4
JW Hastings,CT Bancroft,0
JW Hastings,MR Marsh,4
JW Hastings,PM Nevill,5
JW Hastings,NM Coulter-Nile,3
JW Hastings,A Zampa,4
JW Hastings,JR Hazlewood,1
JW Hastings,GJ Bailey,0
JW Hastings,MC Henriques,1
JW Hastings,MA Starc,1
JW Hastings,PJ Cummins,0
JW Hastings,DT Christian,0
AJ Tye,SM Boland,2
AJ Tye,NM Lyon,1
AJ Tye,UT Khawaja,2
AJ Tye,CT Bancroft,1
AJ Tye,MR Marsh,1
AJ Tye,PM Nevill,1
AJ Tye,NM Coulter-Nile,3
AJ Tye,A Zampa,4
AJ Tye,JR Hazlewood,0
AJ Tye,GJ Bailey,0
AJ Tye,MC Henriques,4
AJ Tye,MA Starc,0
AJ Tye,PJ Cummins,2
AJ Tye,DT Christian,1
SM Boland,NM Lyon,1
SM Boland,UT Khawaja,2
SM Boland,CT Bancroft,1
SM Boland,MR Marsh,0
SM Boland,PM Nevill,1
SM Boland,NM Coulter-Nile,0
SM Boland,A Zampa,1
SM Boland,JR Hazlewood,0
SM Boland,GJ Bailey,1
SM Boland,MC Henriques,1
SM Boland,MA Starc,1
SM Boland,PJ Cummins,0
SM Boland,DT Christian,0
NM Lyon,UT Khawaja,0
NM Lyon,CT Bancroft,0
NM Lyon,MR Marsh,0
NM Lyon,PM Nevill,0
NM Lyon,NM Coulter-Nile,0
NM Lyon,A Zampa,0
NM Lyon,JR Hazlewood,0
NM Lyon,GJ Bailey,0
NM Lyon,MC Henriques,0
NM Lyon,MA Starc,0
NM Lyon,PJ Cummins,0
NM Lyon,DT Christian,0
UT Khawaja,CT Bancroft,1
UT Khawaja,MR Marsh,4
UT Khawaja,PM Nevill,8
UT Khawaja,NM Coulter-Nile,6
UT Khawaja,A Zampa,8
UT Khawaja,JR Hazlewood,2
UT Khawaja,GJ Bailey,1
UT Khawaja,MC Henriques,2
UT Khawaja,MA Starc,2
UT Khawaja,PJ Cummins,0
UT Khawaja,DT Christian,0
CT Bancroft,MR Marsh,0
CT Bancroft,PM Nevill,0
CT Bancroft,NM Coulter-Nile,0
CT Bancroft,A Zampa,0
CT Bancroft,JR Hazlewood,0
CT Bancroft,GJ Bailey,0
CT Bancroft,MC Henriques,0
CT Bancroft,MA Starc,0
CT Bancroft,PJ Cummins,0
CT Bancroft,DT Christian,0
MR Marsh,PM Nevill,5
MR Marsh,NM Coulter-Nile,4
MR Marsh,A Zampa,4
MR Marsh,JR Hazlewood,1
MR Marsh,GJ Bailey,0
MR Marsh,MC Henriques,0
MR Marsh,MA Starc,0
MR Marsh,PJ Cummins,0
MR Marsh,DT Christian,0
PM Nevill,NM Coulter-Nile,6
PM Nevill,A Zampa,8
PM Nevill,JR Hazlewood,3
PM Nevill,GJ Bailey,1
PM Nevill,MC Henriques,2
PM Nevill,MA Starc,2
PM Nevill,PJ Cummins,0
PM Nevill,DT Christian,0
NM Coulter-Nile,A Zampa,8
NM Coulter-Nile,JR Hazlewood,2
NM Coulter-Nile,GJ Bailey,0
NM Coulter-Nile,MC Henriques,2
NM Coulter-Nile,MA Starc,0
NM Coulter-Nile,PJ Cummins,0
NM Coulter-Nile,DT Christian,1
A Zampa,JR Hazlewood,2
A Zampa,GJ Bailey,1
A Zampa,MC Henriques,6
A Zampa,MA Starc,2
A Zampa,PJ Cummins,2
A Zampa,DT Christian,1
JR Hazlewood,GJ Bailey,0
JR Hazlewood,MC Henriques,0
JR Hazlewood,MA Starc,0
JR Hazlewood,PJ Cummins,0
JR Hazlewood,DT Christian,0
AC Agar,GJ Bailey,0
AC Agar,MC Henriques,0
AC Agar,MA Starc,0
AC Agar,PJ Cummins,0
AC Agar,DT Christian,0
TLW Cooper,GJ Bailey,0
TLW Cooper,MC Henriques,0
TLW Cooper,MA Starc,0
TLW Cooper,PJ Cummins,0
TLW Cooper,DT Christian,0
T van,GJ Bailey,0
T van,MC Henriques,0
T van,MA Starc,0
T van,PJ Cummins,0
T van,DT Christian,0
GJ Bailey,MC Henriques,1
GJ Bailey,MA Starc,1
GJ Bailey,PJ Cummins,0
GJ Bailey,DT Christian,0
MC Henriques,MA Starc,2
MC Henriques,PJ Cummins,3
MC Henriques,DT Christian,1
MA Starc,PJ Cummins,0
MA Starc,DT Christian,0
M Klinger,PJ Cummins,3
M Klinger,DT Christian,0
AJ Turner,PJ Cummins,3
AJ Turner,DT Christian,0
TD Paine,PJ Cummins,3
TD Paine,DT Christian,1
PJ Cummins,DT Christian,0
B Stanlake,DT Christian,0
BR Dunk,DT Christian,0
JA Richardson,DT Christian,0
BCJ Cutting,DT Christian,0
