Source,Target,Weight
Tamim Iqbal,Soumya Sarkar,9
Tamim Iqbal,Sabbir Rahman,9
Tamim Iqbal,Shuvagata Hom,2
Tamim Iqbal,Mushfiqur Rahim,6
Tamim Iqbal,Shakib Al,9
Tamim Iqbal,Mahmudullah,9
Tamim Iqbal,Mashrafe Mortaza,9
Tamim Iqbal,Al-Amin Hossain,5
Tamim Iqbal,Mustafizur Rahman,5
Tamim Iqbal,Imrul Kayes,3
Tamim Iqbal,Abu Hider,1
Tamim Iqbal,Taskin Ahmed,5
Tamim Iqbal,Mohammad Mithun,4
Tamim Iqbal,Nasir Hossain,1
Tamim Iqbal,Rubel Hossain,3
Tamim Iqbal,Mehidy Hasan,0
Tamim Iqbal,Liton Das,0
Soumya Sarkar,Sabbir Rahman,15
Soumya Sarkar,Shuvagata Hom,3
Soumya Sarkar,Mushfiqur Rahim,12
Soumya Sarkar,Shakib Al,15
Soumya Sarkar,Mahmudullah,15
Soumya Sarkar,Mashrafe Mortaza,13
Soumya Sarkar,Al-Amin Hossain,8
Soumya Sarkar,Mustafizur Rahman,9
Soumya Sarkar,Imrul Kayes,7
Soumya Sarkar,Abu Hider,1
Soumya Sarkar,Taskin Ahmed,9
Soumya Sarkar,Mohammad Mithun,7
Soumya Sarkar,Nasir Hossain,1
Soumya Sarkar,Rubel Hossain,5
Soumya Sarkar,Mehidy Hasan,3
Soumya Sarkar,Liton Das,1
Sabbir Rahman,Shuvagata Hom,3
Sabbir Rahman,Mushfiqur Rahim,12
Sabbir Rahman,Shakib Al,15
Sabbir Rahman,Mahmudullah,15
Sabbir Rahman,Mashrafe Mortaza,13
Sabbir Rahman,Al-Amin Hossain,8
Sabbir Rahman,Mustafizur Rahman,9
Sabbir Rahman,Imrul Kayes,7
Sabbir Rahman,Abu Hider,1
Sabbir Rahman,Taskin Ahmed,9
Sabbir Rahman,Mohammad Mithun,7
Sabbir Rahman,Nasir Hossain,1
Sabbir Rahman,Rubel Hossain,5
Sabbir Rahman,Mehidy Hasan,3
Sabbir Rahman,Liton Das,1
Shuvagata Hom,Mushfiqur Rahim,3
Shuvagata Hom,Shakib Al,3
Shuvagata Hom,Mahmudullah,3
Shuvagata Hom,Mashrafe Mortaza,3
Shuvagata Hom,Al-Amin Hossain,3
Shuvagata Hom,Mustafizur Rahman,3
Shuvagata Hom,Imrul Kayes,0
Shuvagata Hom,Abu Hider,0
Shuvagata Hom,Taskin Ahmed,0
Shuvagata Hom,Mohammad Mithun,3
Shuvagata Hom,Nasir Hossain,0
Shuvagata Hom,Rubel Hossain,0
Shuvagata Hom,Mehidy Hasan,0
Shuvagata Hom,Liton Das,0
Mushfiqur Rahim,Shakib Al,12
Mushfiqur Rahim,Mahmudullah,12
Mushfiqur Rahim,Mashrafe Mortaza,10
Mushfiqur Rahim,Al-Amin Hossain,8
Mushfiqur Rahim,Mustafizur Rahman,7
Mushfiqur Rahim,Imrul Kayes,4
Mushfiqur Rahim,Abu Hider,1
Mushfiqur Rahim,Taskin Ahmed,8
Mushfiqur Rahim,Mohammad Mithun,7
Mushfiqur Rahim,Nasir Hossain,1
Mushfiqur Rahim,Rubel Hossain,2
Mushfiqur Rahim,Mehidy Hasan,3
Mushfiqur Rahim,Liton Das,1
Shakib Al,Mahmudullah,15
Shakib Al,Mashrafe Mortaza,13
Shakib Al,Al-Amin Hossain,8
Shakib Al,Mustafizur Rahman,9
Shakib Al,Imrul Kayes,7
Shakib Al,Abu Hider,1
Shakib Al,Taskin Ahmed,9
Shakib Al,Mohammad Mithun,7
Shakib Al,Nasir Hossain,1
Shakib Al,Rubel Hossain,5
Shakib Al,Mehidy Hasan,3
Shakib Al,Liton Das,1
Mahmudullah,Mashrafe Mortaza,13
Mahmudullah,Al-Amin Hossain,8
Mahmudullah,Mustafizur Rahman,9
Mahmudullah,Imrul Kayes,7
Mahmudullah,Abu Hider,1
Mahmudullah,Taskin Ahmed,9
Mahmudullah,Mohammad Mithun,7
Mahmudullah,Nasir Hossain,1
Mahmudullah,Rubel Hossain,5
Mahmudullah,Mehidy Hasan,3
Mahmudullah,Liton Das,1
Nurul Hasan,Mashrafe Mortaza,4
Nurul Hasan,Al-Amin Hossain,1
Nurul Hasan,Mustafizur Rahman,3
Nurul Hasan,Imrul Kayes,3
Nurul Hasan,Abu Hider,0
Nurul Hasan,Taskin Ahmed,2
Nurul Hasan,Mohammad Mithun,1
Nurul Hasan,Nasir Hossain,0
Nurul Hasan,Rubel Hossain,3
Nurul Hasan,Mehidy Hasan,0
