Source,Target,Weight
JJ Roy,AD Hales,11
JJ Roy,JE Root,13
JJ Roy,EJG Morgan,16
JJ Roy,BA Stokes,12
JJ Roy,JC Buttler,17
JJ Roy,MM Ali,12
JJ Roy,CJ Jordan,17
JJ Roy,AU Rashid,14
JJ Roy,SW Billings,8
JJ Roy,LE Plunkett,11
JJ Roy,JM Bairstow,4
JJ Roy,LA Dawson,4
JJ Roy,TS Mills,4
JJ Roy,PD Collingwood,0
AD Hales,JE Root,9
AD Hales,EJG Morgan,10
AD Hales,BA Stokes,8
AD Hales,JC Buttler,11
AD Hales,MM Ali,8
AD Hales,CJ Jordan,11
AD Hales,AU Rashid,9
AD Hales,SW Billings,3
AD Hales,LE Plunkett,6
AD Hales,JM Bairstow,2
AD Hales,LA Dawson,1
AD Hales,TS Mills,0
AD Hales,PD Collingwood,0
JE Root,EJG Morgan,13
JE Root,BA Stokes,12
JE Root,JC Buttler,13
JE Root,MM Ali,12
JE Root,CJ Jordan,13
JE Root,AU Rashid,13
JE Root,SW Billings,4
JE Root,LE Plunkett,8
JE Root,JM Bairstow,1
JE Root,LA Dawson,1
JE Root,TS Mills,3
JE Root,PD Collingwood,0
EJG Morgan,BA Stokes,12
EJG Morgan,JC Buttler,16
EJG Morgan,MM Ali,12
EJG Morgan,CJ Jordan,16
EJG Morgan,AU Rashid,14
EJG Morgan,SW Billings,7
EJG Morgan,LE Plunkett,10
EJG Morgan,JM Bairstow,4
EJG Morgan,LA Dawson,4
EJG Morgan,TS Mills,4
EJG Morgan,PD Collingwood,0
BA Stokes,JC Buttler,12
BA Stokes,MM Ali,12
BA Stokes,CJ Jordan,12
BA Stokes,AU Rashid,12
BA Stokes,SW Billings,4
BA Stokes,LE Plunkett,7
BA Stokes,JM Bairstow,0
BA Stokes,LA Dawson,1
BA Stokes,TS Mills,3
BA Stokes,PD Collingwood,0
JC Buttler,MM Ali,12
JC Buttler,CJ Jordan,17
JC Buttler,AU Rashid,14
JC Buttler,SW Billings,8
JC Buttler,LE Plunkett,11
JC Buttler,JM Bairstow,4
JC Buttler,LA Dawson,4
JC Buttler,TS Mills,4
JC Buttler,PD Collingwood,0
MM Ali,CJ Jordan,12
MM Ali,AU Rashid,12
MM Ali,SW Billings,4
MM Ali,LE Plunkett,7
MM Ali,JM Bairstow,0
MM Ali,LA Dawson,1
MM Ali,TS Mills,3
MM Ali,PD Collingwood,0
CJ Jordan,AU Rashid,14
CJ Jordan,SW Billings,8
CJ Jordan,LE Plunkett,11
CJ Jordan,JM Bairstow,4
CJ Jordan,LA Dawson,4
CJ Jordan,TS Mills,4
CJ Jordan,PD Collingwood,0
AU Rashid,SW Billings,5
AU Rashid,LE Plunkett,9
AU Rashid,JM Bairstow,2
AU Rashid,LA Dawson,2
AU Rashid,TS Mills,4
AU Rashid,PD Collingwood,0
DJ Willey,SW Billings,3
DJ Willey,LE Plunkett,8
DJ Willey,JM Bairstow,3
DJ Willey,LA Dawson,2
DJ Willey,TS Mills,0
DJ Willey,PD Collingwood,0
RJW Topley,SW Billings,1
RJW Topley,LE Plunkett,0
RJW Topley,JM Bairstow,0
RJW Topley,LA Dawson,0
RJW Topley,TS Mills,0
RJW Topley,PD Collingwood,0
SW Billings,LE Plunkett,5
SW Billings,JM Bairstow,3
SW Billings,LA Dawson,4
SW Billings,TS Mills,4
SW Billings,PD Collingwood,0
MW Machan,LE Plunkett,0
MW Machan,JM Bairstow,0
MW Machan,LA Dawson,0
MW Machan,TS Mills,0
MW Machan,PD Collingwood,0
JM Vince,LE Plunkett,2
JM Vince,JM Bairstow,1
JM Vince,LA Dawson,1
JM Vince,TS Mills,1
JM Vince,PD Collingwood,0
LE Plunkett,JM Bairstow,3
LE Plunkett,LA Dawson,2
LE Plunkett,TS Mills,3
LE Plunkett,PD Collingwood,0
JM Bairstow,LA Dawson,3
JM Bairstow,TS Mills,1
JM Bairstow,PD Collingwood,0
LA Dawson,TS Mills,2
LA Dawson,PD Collingwood,0
TS Mills,PD Collingwood,0
MS Crane,PD Collingwood,0
MA Wood,PD Collingwood,0
LS Livingstone,PD Collingwood,0
TK Curran,PD Collingwood,0
DJ Malan,PD Collingwood,0
