Source,Target,Weight
RG Sharma,S Dhawan,18
RG Sharma,V Kohli,20
RG Sharma,SK Raina,15
RG Sharma,MS Dhoni,26
RG Sharma,Yuvraj Singh,14
RG Sharma,HH Pandya,23
RG Sharma,RA Jadeja,17
RG Sharma,R Ashwin,17
RG Sharma,JJ Bumrah,25
RG Sharma,A Nehra,16
RG Sharma,AM Rahane,7
RG Sharma,P Negi,0
RG Sharma,Harbhajan Singh,0
RG Sharma,B Kumar,8
RG Sharma,MK Pandey,8
RG Sharma,KL Rahul,6
RG Sharma,AT Rayudu,0
RG Sharma,AR Patel,3
RG Sharma,R Dhawan,18
RG Sharma,JD Unadkat,3
RG Sharma,YS Chahal,8
RG Sharma,Mohammed Shami,2
RG Sharma,A Mishra,1
RG Sharma,Parvez Rasool,0
RG Sharma,RR Pant,0
RG Sharma,KD Karthik,3
RG Sharma,Mohammed Siraj,2
RG Sharma,Washington Sundar,1
S Dhawan,V Kohli,16
S Dhawan,SK Raina,13
S Dhawan,MS Dhoni,19
S Dhawan,Yuvraj Singh,13
S Dhawan,HH Pandya,18
S Dhawan,RA Jadeja,14
S Dhawan,R Ashwin,14
S Dhawan,JJ Bumrah,18
S Dhawan,A Nehra,14
S Dhawan,AM Rahane,3
S Dhawan,P Negi,0
S Dhawan,Harbhajan Singh,0
S Dhawan,B Kumar,6
S Dhawan,MK Pandey,3
S Dhawan,KL Rahul,0
S Dhawan,AT Rayudu,0
S Dhawan,AR Patel,2
S Dhawan,R Dhawan,19
S Dhawan,JD Unadkat,0
S Dhawan,YS Chahal,5
S Dhawan,Mohammed Shami,1
S Dhawan,A Mishra,0
S Dhawan,Parvez Rasool,0
S Dhawan,RR Pant,1
S Dhawan,KD Karthik,1
S Dhawan,Mohammed Siraj,1
S Dhawan,Washington Sundar,0
V Kohli,SK Raina,15
V Kohli,MS Dhoni,24
V Kohli,Yuvraj Singh,14
V Kohli,HH Pandya,20
V Kohli,RA Jadeja,15
V Kohli,R Ashwin,15
V Kohli,JJ Bumrah,23
V Kohli,A Nehra,16
V Kohli,AM Rahane,4
V Kohli,P Negi,0
V Kohli,Harbhajan Singh,0
V Kohli,B Kumar,9
V Kohli,MK Pandey,7
V Kohli,KL Rahul,6
V Kohli,AT Rayudu,0
V Kohli,AR Patel,3
V Kohli,R Dhawan,16
V Kohli,JD Unadkat,0
V Kohli,YS Chahal,9
V Kohli,Mohammed Shami,3
V Kohli,A Mishra,3
V Kohli,Parvez Rasool,1
V Kohli,RR Pant,2
V Kohli,KD Karthik,1
V Kohli,Mohammed Siraj,1
V Kohli,Washington Sundar,0
SK Raina,MS Dhoni,18
SK Raina,Yuvraj Singh,17
SK Raina,HH Pandya,18
SK Raina,RA Jadeja,15
SK Raina,R Ashwin,15
SK Raina,JJ Bumrah,18
SK Raina,A Nehra,18
SK Raina,AM Rahane,5
SK Raina,P Negi,0
SK Raina,Harbhajan Singh,0
SK Raina,B Kumar,0
SK Raina,MK Pandey,3
SK Raina,KL Rahul,3
SK Raina,AT Rayudu,0
SK Raina,AR Patel,0
SK Raina,R Dhawan,13
SK Raina,JD Unadkat,0
SK Raina,YS Chahal,3
SK Raina,Mohammed Shami,0
SK Raina,A Mishra,2
SK Raina,Parvez Rasool,1
SK Raina,RR Pant,1
SK Raina,KD Karthik,0
SK Raina,Mohammed Siraj,0
SK Raina,Washington Sundar,0
MS Dhoni,Yuvraj Singh,17
MS Dhoni,HH Pandya,26
MS Dhoni,RA Jadeja,18
MS Dhoni,R Ashwin,18
MS Dhoni,JJ Bumrah,28
MS Dhoni,A Nehra,19
MS Dhoni,AM Rahane,7
MS Dhoni,P Negi,0
MS Dhoni,Harbhajan Singh,0
MS Dhoni,B Kumar,9
MS Dhoni,MK Pandey,10
MS Dhoni,KL Rahul,9
MS Dhoni,AT Rayudu,0
MS Dhoni,AR Patel,3
MS Dhoni,R Dhawan,19
MS Dhoni,JD Unadkat,3
MS Dhoni,YS Chahal,11
MS Dhoni,Mohammed Shami,3
MS Dhoni,A Mishra,3
MS Dhoni,Parvez Rasool,1
MS Dhoni,RR Pant,2
MS Dhoni,KD Karthik,4
MS Dhoni,Mohammed Siraj,2
MS Dhoni,Washington Sundar,1
Yuvraj Singh,HH Pandya,17
Yuvraj Singh,RA Jadeja,14
Yuvraj Singh,R Ashwin,14
Yuvraj Singh,JJ Bumrah,17
Yuvraj Singh,A Nehra,17
Yuvraj Singh,AM Rahane,4
Yuvraj Singh,P Negi,0
Yuvraj Singh,Harbhajan Singh,0
Yuvraj Singh,B Kumar,0
Yuvraj Singh,MK Pandey,2
Yuvraj Singh,KL Rahul,3
Yuvraj Singh,AT Rayudu,0
Yuvraj Singh,AR Patel,0
Yuvraj Singh,R Dhawan,13
Yuvraj Singh,JD Unadkat,0
Yuvraj Singh,YS Chahal,3
Yuvraj Singh,Mohammed Shami,0
Yuvraj Singh,A Mishra,2
Yuvraj Singh,Parvez Rasool,1
Yuvraj Singh,RR Pant,1
Yuvraj Singh,KD Karthik,0
Yuvraj Singh,Mohammed Siraj,0
Yuvraj Singh,Washington Sundar,0
HH Pandya,RA Jadeja,15
HH Pandya,R Ashwin,15
HH Pandya,JJ Bumrah,25
HH Pandya,A Nehra,19
HH Pandya,AM Rahane,5
HH Pandya,P Negi,0
HH Pandya,Harbhajan Singh,0
HH Pandya,B Kumar,5
HH Pandya,MK Pandey,9
HH Pandya,KL Rahul,6
HH Pandya,AT Rayudu,0
HH Pandya,AR Patel,2
HH Pandya,R Dhawan,18
HH Pandya,JD Unadkat,3
HH Pandya,YS Chahal,10
HH Pandya,Mohammed Shami,0
HH Pandya,A Mishra,2
HH Pandya,Parvez Rasool,1
HH Pandya,RR Pant,1
HH Pandya,KD Karthik,3
HH Pandya,Mohammed Siraj,2
HH Pandya,Washington Sundar,1
RA Jadeja,R Ashwin,18
RA Jadeja,JJ Bumrah,17
RA Jadeja,A Nehra,15
RA Jadeja,AM Rahane,7
RA Jadeja,P Negi,0
RA Jadeja,Harbhajan Singh,0
