Source,Target,Weight
MJ Guptill,KS Williamson,12
MJ Guptill,C Munro,13
MJ Guptill,CJ Anderson,9
MJ Guptill,LRPL Taylor,9
MJ Guptill,GD Elliott,9
MJ Guptill,L Ronchi,9
MJ Guptill,IS Sodhi,9
MJ Guptill,MJ Santner,12
MJ Guptill,AF Milne,9
MJ Guptill,NL McCullum,1
MJ Guptill,NT Broom,0
MJ Guptill,TG Southee,3
KS Williamson,C Munro,17
KS Williamson,CJ Anderson,14
KS Williamson,LRPL Taylor,9
KS Williamson,GD Elliott,10
KS Williamson,L Ronchi,13
KS Williamson,IS Sodhi,11
KS Williamson,MJ Santner,16
KS Williamson,AF Milne,9
KS Williamson,NL McCullum,2
KS Williamson,NT Broom,1
KS Williamson,TG Southee,3
C Munro,CJ Anderson,14
C Munro,LRPL Taylor,10
C Munro,GD Elliott,10
C Munro,L Ronchi,13
C Munro,IS Sodhi,12
C Munro,MJ Santner,17
C Munro,AF Milne,9
C Munro,NL McCullum,2
C Munro,NT Broom,1
C Munro,TG Southee,4
CJ Anderson,LRPL Taylor,9
CJ Anderson,GD Elliott,10
CJ Anderson,L Ronchi,13
CJ Anderson,IS Sodhi,8
CJ Anderson,MJ Santner,13
CJ Anderson,AF Milne,8
CJ Anderson,NL McCullum,2
CJ Anderson,NT Broom,1
CJ Anderson,TG Southee,1
LRPL Taylor,GD Elliott,9
LRPL Taylor,L Ronchi,9
LRPL Taylor,IS Sodhi,7
LRPL Taylor,MJ Santner,9
LRPL Taylor,AF Milne,7
LRPL Taylor,NL McCullum,2
LRPL Taylor,NT Broom,0
LRPL Taylor,TG Southee,1
GD Elliott,L Ronchi,10
GD Elliott,IS Sodhi,6
GD Elliott,MJ Santner,9
GD Elliott,AF Milne,8
GD Elliott,NL McCullum,2
GD Elliott,NT Broom,0
GD Elliott,TG Southee,0
L Ronchi,IS Sodhi,7
L Ronchi,MJ Santner,12
L Ronchi,AF Milne,8
L Ronchi,NL McCullum,2
L Ronchi,NT Broom,1
L Ronchi,TG Southee,1
MJ Henry,IS Sodhi,1
MJ Henry,MJ Santner,2
MJ Henry,AF Milne,1
MJ Henry,NL McCullum,0
MJ Henry,NT Broom,1
MJ Henry,TG Southee,0
MJ McClenaghan,IS Sodhi,5
MJ McClenaghan,MJ Santner,7
MJ McClenaghan,AF Milne,6
MJ McClenaghan,NL McCullum,1
MJ McClenaghan,NT Broom,0
MJ McClenaghan,TG Southee,0
IS Sodhi,MJ Santner,11
IS Sodhi,AF Milne,5
IS Sodhi,NL McCullum,2
IS Sodhi,NT Broom,0
IS Sodhi,TG Southee,3
TA Boult,MJ Santner,9
TA Boult,AF Milne,4
TA Boult,NL McCullum,0
TA Boult,NT Broom,0
TA Boult,TG Southee,3
MJ Santner,AF Milne,9
MJ Santner,NL McCullum,2
MJ Santner,NT Broom,1
MJ Santner,TG Southee,4
AF Milne,NL McCullum,1
AF Milne,NT Broom,0
AF Milne,TG Southee,0
TD Astle,NL McCullum,0
TD Astle,NT Broom,0
TD Astle,TG Southee,0
MS Chapman,NL McCullum,0
MS Chapman,NT Broom,0
MS Chapman,TG Southee,0
NL McCullum,NT Broom,0
NL McCullum,TG Southee,0
HM Nicholls,NT Broom,0
HM Nicholls,TG Southee,2
NT Broom,TG Southee,0
TC Bruce,TG Southee,4
C de,TG Southee,3
BM Wheeler,TG Southee,1
LH Ferguson,TG Southee,0
JDS Neesham,TG Southee,0
TA Blundell,TG Southee,0
GD Phillips,TG Southee,3
