Source,Target,Weight
Mohammad Hafeez,Ahmed Shehzad,8
Mohammad Hafeez,Sohaib Maqsood,2
Mohammad Hafeez,Shoaib Malik,12
Mohammad Hafeez,Umar Akmal,8
Mohammad Hafeez,Shahid Afridi,8
Mohammad Hafeez,Sarfraz Ahmed,12
Mohammad Hafeez,Wahab Riaz,8
Mohammad Hafeez,Umar Gul,2
Mohammad Hafeez,Mohammad Amir,9
Mohammad Hafeez,Sharjeel Khan,5
Mohammad Hafeez,Khurram Manzoor,2
Mohammad Hafeez,Mohammad Sami,3
Mohammad Hafeez,Mohammad Irfan,5
Mohammad Hafeez,Sohail Tanvir,1
Mohammad Hafeez,Kamran Akmal,1
Ahmed Shehzad,Sohaib Maqsood,2
Ahmed Shehzad,Shoaib Malik,13
Ahmed Shehzad,Umar Akmal,7
Ahmed Shehzad,Shahid Afridi,7
Ahmed Shehzad,Sarfraz Ahmed,13
Ahmed Shehzad,Wahab Riaz,10
Ahmed Shehzad,Umar Gul,2
Ahmed Shehzad,Mohammad Amir,7
Ahmed Shehzad,Sharjeel Khan,4
Ahmed Shehzad,Khurram Manzoor,0
Ahmed Shehzad,Mohammad Sami,3
Ahmed Shehzad,Mohammad Irfan,3
Ahmed Shehzad,Sohail Tanvir,3
Ahmed Shehzad,Kamran Akmal,4
Sohaib Maqsood,Shoaib Malik,2
Sohaib Maqsood,Umar Akmal,2
Sohaib Maqsood,Shahid Afridi,2
Sohaib Maqsood,Sarfraz Ahmed,2
Sohaib Maqsood,Wahab Riaz,2
Sohaib Maqsood,Umar Gul,2
Sohaib Maqsood,Mohammad Amir,2
Sohaib Maqsood,Sharjeel Khan,0
Sohaib Maqsood,Khurram Manzoor,0
Sohaib Maqsood,Mohammad Sami,0
Sohaib Maqsood,Mohammad Irfan,0
Sohaib Maqsood,Sohail Tanvir,0
Sohaib Maqsood,Kamran Akmal,0
Shoaib Malik,Umar Akmal,13
Shoaib Malik,Shahid Afridi,10
Shoaib Malik,Sarfraz Ahmed,21
Shoaib Malik,Wahab Riaz,15
Shoaib Malik,Umar Gul,2
Shoaib Malik,Mohammad Amir,13
Shoaib Malik,Sharjeel Khan,11
Shoaib Malik,Khurram Manzoor,2
Shoaib Malik,Mohammad Sami,5
Shoaib Malik,Mohammad Irfan,6
Shoaib Malik,Sohail Tanvir,7
Shoaib Malik,Kamran Akmal,4
Umar Akmal,Shahid Afridi,10
Umar Akmal,Sarfraz Ahmed,13
Umar Akmal,Wahab Riaz,10
Umar Akmal,Umar Gul,2
Umar Akmal,Mohammad Amir,11
Umar Akmal,Sharjeel Khan,10
Umar Akmal,Khurram Manzoor,2
Umar Akmal,Mohammad Sami,5
Umar Akmal,Mohammad Irfan,6
Umar Akmal,Sohail Tanvir,3
Umar Akmal,Kamran Akmal,0
Shahid Afridi,Sarfraz Ahmed,10
Shahid Afridi,Wahab Riaz,8
Shahid Afridi,Umar Gul,2
Shahid Afridi,Mohammad Amir,10
Shahid Afridi,Sharjeel Khan,7
Shahid Afridi,Khurram Manzoor,2
Shahid Afridi,Mohammad Sami,5
Shahid Afridi,Mohammad Irfan,6
Shahid Afridi,Sohail Tanvir,0
Shahid Afridi,Kamran Akmal,0
Imad Wasim,Sarfraz Ahmed,17
Imad Wasim,Wahab Riaz,12
Imad Wasim,Umar Gul,2
Imad Wasim,Mohammad Amir,9
Imad Wasim,Sharjeel Khan,7
Imad Wasim,Khurram Manzoor,0
Imad Wasim,Mohammad Sami,2
Imad Wasim,Mohammad Irfan,2
Imad Wasim,Sohail Tanvir,7
Imad Wasim,Kamran Akmal,4
Sarfraz Ahmed,Wahab Riaz,15
Sarfraz Ahmed,Umar Gul,2
Sarfraz Ahmed,Mohammad Amir,13
Sarfraz Ahmed,Sharjeel Khan,11
Sarfraz Ahmed,Khurram Manzoor,2
Sarfraz Ahmed,Mohammad Sami,5
Sarfraz Ahmed,Mohammad Irfan,6
Sarfraz Ahmed,Sohail Tanvir,7
Sarfraz Ahmed,Kamran Akmal,4
Wahab Riaz,Umar Gul,2
Wahab Riaz,Mohammad Amir,9
Wahab Riaz,Sharjeel Khan,8
Wahab Riaz,Khurram Manzoor,1
Wahab Riaz,Mohammad Sami,3
Wahab Riaz,Mohammad Irfan,4
Wahab Riaz,Sohail Tanvir,6
Wahab Riaz,Kamran Akmal,4
Umar Gul,Mohammad Amir,2
Umar Gul,Sharjeel Khan,0
Umar Gul,Khurram Manzoor,0
Umar Gul,Mohammad Sami,0
Umar Gul,Mohammad Irfan,0
Umar Gul,Sohail Tanvir,0
Umar Gul,Kamran Akmal,0
Mohammad Amir,Sharjeel Khan,9
Mohammad Amir,Khurram Manzoor,2
Mohammad Amir,Mohammad Sami,5
Mohammad Amir,Mohammad Irfan,6
Mohammad Amir,Sohail Tanvir,2
Mohammad Amir,Kamran Akmal,0
Mohammad Rizwan,Sharjeel Khan,1
Mohammad Rizwan,Khurram Manzoor,0
Mohammad Rizwan,Mohammad Sami,0
Mohammad Rizwan,Mohammad Irfan,0
Mohammad Rizwan,Sohail Tanvir,1
Mohammad Rizwan,Kamran Akmal,0
Anwar Ali,Sharjeel Khan,1
Anwar Ali,Khurram Manzoor,1
Anwar Ali,Mohammad Sami,1
Anwar Ali,Mohammad Irfan,1
Anwar Ali,Sohail Tanvir,0
Anwar Ali,Kamran Akmal,0
Sharjeel Khan,Khurram Manzoor,2
Sharjeel Khan,Mohammad Sami,5
Sharjeel Khan,Mohammad Irfan,6
Sharjeel Khan,Sohail Tanvir,4
Sharjeel Khan,Kamran Akmal,0
Khurram Manzoor,Mohammad Sami,2
Khurram Manzoor,Mohammad Irfan,2
Khurram Manzoor,Sohail Tanvir,0
Khurram Manzoor,Kamran Akmal,0
Mohammad Sami,Mohammad Irfan,4
Mohammad Sami,Sohail Tanvir,0
Mohammad Sami,Kamran Akmal,0
Mohammad Irfan,Sohail Tanvir,0
Mohammad Irfan,Kamran Akmal,0
Mohammad Nawaz(3),Sohail Tanvir,3
Mohammad Nawaz(3),Kamran Akmal,0
Iftikhar Ahmed,Sohail Tanvir,0
Iftikhar Ahmed,Kamran Akmal,0
Khalid Latif,Sohail Tanvir,4
Khalid Latif,Kamran Akmal,0
Babar Azam,Sohail Tanvir,7
Babar Azam,Kamran Akmal,4
Sohail Tanvir,Kamran Akmal,3
Hasan Ali,Kamran Akmal,4
Rumman Raees,Kamran Akmal,1
