Source,Target,Weight
HM Amla,AB de,9
HM Amla,F du,11
HM Amla,JP Duminy,8
HM Amla,DA Miller,12
HM Amla,CH Morris,6
HM Amla,KJ Abbott,6
HM Amla,K Rabada,6
HM Amla,Imran Tahir,11
HM Amla,Q de,7
HM Amla,F Behardien,4
HM Amla,DW Steyn,3
HM Amla,AM Phangiso,4
HM Amla,JT Smuts,0
HM Amla,WD Parnell,1
HM Amla,AL Phehlukwayo,3
HM Amla,RR Hendricks,0
HM Amla,D Paterson,2
HM Amla,T Shamsi,0
HM Amla,M Morkel,3
HM Amla,BE Hendricks,2
AB de,F du,9
AB de,JP Duminy,9
AB de,DA Miller,14
AB de,CH Morris,10
AB de,KJ Abbott,6
AB de,K Rabada,7
AB de,Imran Tahir,12
AB de,Q de,8
AB de,F Behardien,9
AB de,DW Steyn,3
AB de,AM Phangiso,4
AB de,JT Smuts,4
AB de,WD Parnell,3
AB de,AL Phehlukwayo,7
AB de,RR Hendricks,4
AB de,D Paterson,5
AB de,T Shamsi,2
AB de,M Morkel,2
AB de,BE Hendricks,2
F du,JP Duminy,8
F du,DA Miller,12
F du,CH Morris,8
F du,KJ Abbott,7
F du,K Rabada,8
F du,Imran Tahir,13
F du,Q de,8
F du,F Behardien,3
F du,DW Steyn,4
F du,AM Phangiso,2
F du,JT Smuts,0
F du,WD Parnell,1
F du,AL Phehlukwayo,1
F du,RR Hendricks,0
F du,D Paterson,1
F du,T Shamsi,0
F du,M Morkel,3
F du,BE Hendricks,0
JP Duminy,DA Miller,9
JP Duminy,CH Morris,7
JP Duminy,KJ Abbott,6
JP Duminy,K Rabada,7
JP Duminy,Imran Tahir,8
JP Duminy,Q de,7
JP Duminy,F Behardien,4
JP Duminy,DW Steyn,3
JP Duminy,AM Phangiso,2
JP Duminy,JT Smuts,0
JP Duminy,WD Parnell,1
JP Duminy,AL Phehlukwayo,3
JP Duminy,RR Hendricks,0
JP Duminy,D Paterson,2
JP Duminy,T Shamsi,0
JP Duminy,M Morkel,0
JP Duminy,BE Hendricks,2
RR Rossouw,DA Miller,5
RR Rossouw,CH Morris,4
RR Rossouw,KJ Abbott,4
RR Rossouw,K Rabada,5
RR Rossouw,Imran Tahir,5
RR Rossouw,Q de,3
RR Rossouw,F Behardien,0
RR Rossouw,DW Steyn,1
RR Rossouw,AM Phangiso,1
RR Rossouw,JT Smuts,0
RR Rossouw,WD Parnell,0
RR Rossouw,AL Phehlukwayo,0
RR Rossouw,RR Hendricks,0
RR Rossouw,D Paterson,0
RR Rossouw,T Shamsi,0
RR Rossouw,M Morkel,0
RR Rossouw,BE Hendricks,0
DA Miller,CH Morris,9
DA Miller,KJ Abbott,7
DA Miller,K Rabada,8
DA Miller,Imran Tahir,17
DA Miller,Q de,8
DA Miller,F Behardien,10
DA Miller,DW Steyn,4
DA Miller,AM Phangiso,6
DA Miller,JT Smuts,6
DA Miller,WD Parnell,4
DA Miller,AL Phehlukwayo,8
DA Miller,RR Hendricks,4
DA Miller,D Paterson,4
DA Miller,T Shamsi,2
DA Miller,M Morkel,5
DA Miller,BE Hendricks,2
D Wiese,CH Morris,6
D Wiese,KJ Abbott,6
D Wiese,K Rabada,7
D Wiese,Imran Tahir,8
D Wiese,Q de,6
D Wiese,F Behardien,2
D Wiese,DW Steyn,3
D Wiese,AM Phangiso,2
D Wiese,JT Smuts,0
D Wiese,WD Parnell,0
D Wiese,AL Phehlukwayo,0
D Wiese,RR Hendricks,0
D Wiese,D Paterson,0
D Wiese,T Shamsi,0
D Wiese,M Morkel,0
D Wiese,BE Hendricks,0
CH Morris,KJ Abbott,5
CH Morris,K Rabada,7
CH Morris,Imran Tahir,9
CH Morris,Q de,6
CH Morris,F Behardien,4
CH Morris,DW Steyn,2
CH Morris,AM Phangiso,1
CH Morris,JT Smuts,2
CH Morris,WD Parnell,1
CH Morris,AL Phehlukwayo,3
CH Morris,RR Hendricks,2
CH Morris,D Paterson,3
CH Morris,T Shamsi,1
CH Morris,M Morkel,2
CH Morris,BE Hendricks,0
KJ Abbott,K Rabada,6
KJ Abbott,Imran Tahir,7
KJ Abbott,Q de,5
KJ Abbott,F Behardien,1
KJ Abbott,DW Steyn,3
KJ Abbott,AM Phangiso,1
KJ Abbott,JT Smuts,0
KJ Abbott,WD Parnell,0
KJ Abbott,AL Phehlukwayo,0
KJ Abbott,RR Hendricks,0
KJ Abbott,D Paterson,0
KJ Abbott,T Shamsi,0
KJ Abbott,M Morkel,0
KJ Abbott,BE Hendricks,0
K Rabada,Imran Tahir,8
K Rabada,Q de,6
K Rabada,F Behardien,1
K Rabada,DW Steyn,3
K Rabada,AM Phangiso,1
K Rabada,JT Smuts,0
K Rabada,WD Parnell,0
K Rabada,AL Phehlukwayo,0
K Rabada,RR Hendricks,0
K Rabada,D Paterson,0
K Rabada,T Shamsi,0
K Rabada,M Morkel,0
K Rabada,BE Hendricks,0
Imran Tahir,Q de,8
Imran Tahir,F Behardien,8
Imran Tahir,DW Steyn,4
Imran Tahir,AM Phangiso,4
Imran Tahir,JT Smuts,5
Imran Tahir,WD Parnell,5
Imran Tahir,AL Phehlukwayo,6
Imran Tahir,RR Hendricks,3
Imran Tahir,D Paterson,3
Imran Tahir,T Shamsi,1
Imran Tahir,M Morkel,4
Imran Tahir,BE Hendricks,0
Q de,F Behardien,4
Q de,DW Steyn,4
Q de,AM Phangiso,3
Q de,JT Smuts,0
Q de,WD Parnell,1
Q de,AL Phehlukwayo,2
Q de,RR Hendricks,0
Q de,D Paterson,2
Q de,T Shamsi,0
Q de,M Morkel,0
Q de,BE Hendricks,1
F Behardien,DW Steyn,2
F Behardien,AM Phangiso,5
F Behardien,JT Smuts,6
F Behardien,WD Parnell,5
F Behardien,AL Phehlukwayo,9
F Behardien,RR Hendricks,4
F Behardien,D Paterson,5
F Behardien,T Shamsi,2
F Behardien,M Morkel,2
F Behardien,BE Hendricks,2
DW Steyn,AM Phangiso,1
DW Steyn,JT Smuts,0
DW Steyn,WD Parnell,0
DW Steyn,AL Phehlukwayo,0
DW Steyn,RR Hendricks,0
DW Steyn,D Paterson,0
DW Steyn,T Shamsi,0
DW Steyn,M Morkel,0
DW Steyn,BE Hendricks,0
AM Phangiso,JT Smuts,2
AM Phangiso,WD Parnell,2
AM Phangiso,AL Phehlukwayo,4
AM Phangiso,RR Hendricks,0
AM Phangiso,D Paterson,1
AM Phangiso,T Shamsi,0
AM Phangiso,M Morkel,0
AM Phangiso,BE Hendricks,2
JT Smuts,WD Parnell,4
JT Smuts,AL Phehlukwayo,6
JT Smuts,RR Hendricks,4
JT Smuts,D Paterson,3
JT Smuts,T Shamsi,2
JT Smuts,M Morkel,2
JT Smuts,BE Hendricks,0
HG Kuhn,WD Parnell,2
HG Kuhn,AL Phehlukwayo,2
HG Kuhn,RR Hendricks,0
HG Kuhn,D Paterson,0
HG Kuhn,T Shamsi,0
HG Kuhn,M Morkel,0
HG Kuhn,BE Hendricks,0
TB de,WD Parnell,2
TB de,AL Phehlukwayo,2
TB de,RR Hendricks,0
TB de,D Paterson,0
TB de,T Shamsi,0
TB de,M Morkel,0
TB de,BE Hendricks,0
M Mosehle,WD Parnell,4
M Mosehle,AL Phehlukwayo,7
M Mosehle,RR Hendricks,4
M Mosehle,D Paterson,3
M Mosehle,T Shamsi,2
M Mosehle,M Morkel,2
M Mosehle,BE Hendricks,1
WD Parnell,AL Phehlukwayo,5
WD Parnell,RR Hendricks,2
WD Parnell,D Paterson,2
WD Parnell,T Shamsi,1
WD Parnell,M Morkel,0
WD Parnell,BE Hendricks,0
L Ngidi,AL Phehlukwayo,3
L Ngidi,RR Hendricks,1
L Ngidi,D Paterson,1
L Ngidi,T Shamsi,0
L Ngidi,M Morkel,0
L Ngidi,BE Hendricks,0
AL Phehlukwayo,RR Hendricks,4
AL Phehlukwayo,D Paterson,5
AL Phehlukwayo,T Shamsi,2
AL Phehlukwayo,M Morkel,2
AL Phehlukwayo,BE Hendricks,2
RR Hendricks,D Paterson,3
RR Hendricks,T Shamsi,2
RR Hendricks,M Morkel,2
RR Hendricks,BE Hendricks,0
D Paterson,T Shamsi,1
D Paterson,M Morkel,2
D Paterson,BE Hendricks,1
D Pretorius,T Shamsi,1
D Pretorius,M Morkel,0
D Pretorius,BE Hendricks,1
T Shamsi,M Morkel,1
T Shamsi,BE Hendricks,0
M Morkel,BE Hendricks,0
R Frylinck,BE Hendricks,2
