Source,Target,Weight
MD Gunathilaka,TM Dilshan,3
MD Gunathilaka,LD Chandimal,5
MD Gunathilaka,GSNFG Jayasuriya,2
MD Gunathilaka,AD Mathews,3
MD Gunathilaka,TAM Siriwardana,4
MD Gunathilaka,NLTC Perera,8
MD Gunathilaka,CK Kapugedera,3
MD Gunathilaka,KMDN Kulasekara,1
MD Gunathilaka,RAS Lakmal,1
MD Gunathilaka,PVD Chameera,4
MD Gunathilaka,N Dickwella,2
MD Gunathilaka,MD Shanaka,7
MD Gunathilaka,S Prasanna,6
MD Gunathilaka,SMSM Senanayake,2
MD Gunathilaka,CAK Rajitha,2
MD Gunathilaka,DAS Gunaratne,1
MD Gunathilaka,CRD Fernando,0
MD Gunathilaka,HMRKB Herath,0
MD Gunathilaka,SL Malinga,0
MD Gunathilaka,HDRL Thirimanne,0
MD Gunathilaka,MDKJ Perera,2
MD Gunathilaka,BKG Mendis,1
MD Gunathilaka,N Pradeep,2
MD Gunathilaka,WU Tharanga,1
MD Gunathilaka,A Dananjaya,1
TM Dilshan,LD Chandimal,13
TM Dilshan,GSNFG Jayasuriya,7
TM Dilshan,AD Mathews,7
TM Dilshan,TAM Siriwardana,11
TM Dilshan,NLTC Perera,13
TM Dilshan,CK Kapugedera,11
TM Dilshan,KMDN Kulasekara,6
TM Dilshan,RAS Lakmal,4
TM Dilshan,PVD Chameera,9
TM Dilshan,N Dickwella,2
TM Dilshan,MD Shanaka,7
TM Dilshan,S Prasanna,3
TM Dilshan,SMSM Senanayake,4
TM Dilshan,CAK Rajitha,2
TM Dilshan,DAS Gunaratne,1
TM Dilshan,CRD Fernando,1
TM Dilshan,HMRKB Herath,7
TM Dilshan,SL Malinga,0
TM Dilshan,HDRL Thirimanne,4
TM Dilshan,MDKJ Perera,2
TM Dilshan,BKG Mendis,2
TM Dilshan,N Pradeep,0
TM Dilshan,WU Tharanga,0
TM Dilshan,A Dananjaya,0
LD Chandimal,GSNFG Jayasuriya,7
LD Chandimal,AD Mathews,10
LD Chandimal,TAM Siriwardana,12
LD Chandimal,NLTC Perera,14
LD Chandimal,CK Kapugedera,12
LD Chandimal,KMDN Kulasekara,9
LD Chandimal,RAS Lakmal,5
LD Chandimal,PVD Chameera,10
LD Chandimal,N Dickwella,6
LD Chandimal,MD Shanaka,9
LD Chandimal,S Prasanna,8
LD Chandimal,SMSM Senanayake,5
LD Chandimal,CAK Rajitha,3
LD Chandimal,DAS Gunaratne,4
LD Chandimal,CRD Fernando,1
LD Chandimal,HMRKB Herath,7
LD Chandimal,SL Malinga,0
LD Chandimal,HDRL Thirimanne,4
LD Chandimal,MDKJ Perera,3
LD Chandimal,BKG Mendis,6
LD Chandimal,N Pradeep,2
LD Chandimal,WU Tharanga,1
LD Chandimal,A Dananjaya,0
GSNFG Jayasuriya,AD Mathews,5
GSNFG Jayasuriya,TAM Siriwardana,7
GSNFG Jayasuriya,NLTC Perera,7
GSNFG Jayasuriya,CK Kapugedera,6
GSNFG Jayasuriya,KMDN Kulasekara,5
GSNFG Jayasuriya,RAS Lakmal,2
GSNFG Jayasuriya,PVD Chameera,5
GSNFG Jayasuriya,N Dickwella,1
GSNFG Jayasuriya,MD Shanaka,4
GSNFG Jayasuriya,S Prasanna,0
GSNFG Jayasuriya,SMSM Senanayake,0
GSNFG Jayasuriya,CAK Rajitha,0
GSNFG Jayasuriya,DAS Gunaratne,0
GSNFG Jayasuriya,CRD Fernando,0
GSNFG Jayasuriya,HMRKB Herath,5
GSNFG Jayasuriya,SL Malinga,0
GSNFG Jayasuriya,HDRL Thirimanne,2
GSNFG Jayasuriya,MDKJ Perera,0
GSNFG Jayasuriya,BKG Mendis,0
GSNFG Jayasuriya,N Pradeep,0
GSNFG Jayasuriya,WU Tharanga,0
GSNFG Jayasuriya,A Dananjaya,0
AD Mathews,TAM Siriwardana,7
AD Mathews,NLTC Perera,10
AD Mathews,CK Kapugedera,6
AD Mathews,KMDN Kulasekara,7
AD Mathews,RAS Lakmal,2
AD Mathews,PVD Chameera,8
AD Mathews,N Dickwella,5
AD Mathews,MD Shanaka,6
AD Mathews,S Prasanna,4
AD Mathews,SMSM Senanayake,0
AD Mathews,CAK Rajitha,0
AD Mathews,DAS Gunaratne,4
AD Mathews,CRD Fernando,0
AD Mathews,HMRKB Herath,5
AD Mathews,SL Malinga,1
AD Mathews,HDRL Thirimanne,3
AD Mathews,MDKJ Perera,3
AD Mathews,BKG Mendis,3
AD Mathews,N Pradeep,4
AD Mathews,WU Tharanga,3
AD Mathews,A Dananjaya,3
TAM Siriwardana,NLTC Perera,14
TAM Siriwardana,CK Kapugedera,15
TAM Siriwardana,KMDN Kulasekara,11
TAM Siriwardana,RAS Lakmal,2
TAM Siriwardana,PVD Chameera,10
TAM Siriwardana,N Dickwella,5
TAM Siriwardana,MD Shanaka,9
TAM Siriwardana,S Prasanna,8
TAM Siriwardana,SMSM Senanayake,3
TAM Siriwardana,CAK Rajitha,2
TAM Siriwardana,DAS Gunaratne,6
TAM Siriwardana,CRD Fernando,1
TAM Siriwardana,HMRKB Herath,7
TAM Siriwardana,SL Malinga,5
TAM Siriwardana,HDRL Thirimanne,4
TAM Siriwardana,MDKJ Perera,2
TAM Siriwardana,BKG Mendis,2
TAM Siriwardana,N Pradeep,0
TAM Siriwardana,WU Tharanga,5
TAM Siriwardana,A Dananjaya,0
NLTC Perera,CK Kapugedera,14
NLTC Perera,KMDN Kulasekara,8
NLTC Perera,RAS Lakmal,4
NLTC Perera,PVD Chameera,13
NLTC Perera,N Dickwella,7
NLTC Perera,MD Shanaka,14
NLTC Perera,S Prasanna,10
NLTC Perera,SMSM Senanayake,5
NLTC Perera,CAK Rajitha,3
NLTC Perera,DAS Gunaratne,6
NLTC Perera,CRD Fernando,1
NLTC Perera,HMRKB Herath,7
NLTC Perera,SL Malinga,3
NLTC Perera,HDRL Thirimanne,4
NLTC Perera,MDKJ Perera,7
NLTC Perera,BKG Mendis,2
NLTC Perera,N Pradeep,3
NLTC Perera,WU Tharanga,6
NLTC Perera,A Dananjaya,4
CK Kapugedera,KMDN Kulasekara,11
CK Kapugedera,RAS Lakmal,4
CK Kapugedera,PVD Chameera,8
CK Kapugedera,N Dickwella,4
CK Kapugedera,MD Shanaka,8
CK Kapugedera,S Prasanna,8
CK Kapugedera,SMSM Senanayake,4
CK Kapugedera,CAK Rajitha,3
CK Kapugedera,DAS Gunaratne,5
CK Kapugedera,CRD Fernando,0
CK Kapugedera,HMRKB Herath,7
CK Kapugedera,SL Malinga,5
CK Kapugedera,HDRL Thirimanne,4
CK Kapugedera,MDKJ Perera,4
CK Kapugedera,BKG Mendis,4
CK Kapugedera,N Pradeep,0
CK Kapugedera,WU Tharanga,5
CK Kapugedera,A Dananjaya,0
KMDN Kulasekara,RAS Lakmal,2
KMDN Kulasekara,PVD Chameera,5
KMDN Kulasekara,N Dickwella,6
KMDN Kulasekara,MD Shanaka,4
KMDN Kulasekara,S Prasanna,8
KMDN Kulasekara,SMSM Senanayake,0
KMDN Kulasekara,CAK Rajitha,0
KMDN Kulasekara,DAS Gunaratne,8
KMDN Kulasekara,CRD Fernando,0
KMDN Kulasekara,HMRKB Herath,5
KMDN Kulasekara,SL Malinga,5
KMDN Kulasekara,HDRL Thirimanne,2
KMDN Kulasekara,MDKJ Perera,2
KMDN Kulasekara,BKG Mendis,5
KMDN Kulasekara,N Pradeep,1
KMDN Kulasekara,WU Tharanga,6
KMDN Kulasekara,A Dananjaya,0
JDF Vandersay,RAS Lakmal,2
JDF Vandersay,PVD Chameera,3
JDF Vandersay,N Dickwella,0
JDF Vandersay,MD Shanaka,2
JDF Vandersay,S Prasanna,0
JDF Vandersay,SMSM Senanayake,0
JDF Vandersay,CAK Rajitha,0
JDF Vandersay,DAS Gunaratne,0
JDF Vandersay,CRD Fernando,0
JDF Vandersay,HMRKB Herath,3
JDF Vandersay,SL Malinga,0
JDF Vandersay,HDRL Thirimanne,3
JDF Vandersay,MDKJ Perera,0
JDF Vandersay,BKG Mendis,0
JDF Vandersay,N Pradeep,0
JDF Vandersay,WU Tharanga,0
JDF Vandersay,A Dananjaya,0
RAS Lakmal,PVD Chameera,0
RAS Lakmal,N Dickwella,1
RAS Lakmal,MD Shanaka,1
RAS Lakmal,S Prasanna,2
RAS Lakmal,SMSM Senanayake,2
RAS Lakmal,CAK Rajitha,1
RAS Lakmal,DAS Gunaratne,1
RAS Lakmal,CRD Fernando,0
RAS Lakmal,HMRKB Herath,1
RAS Lakmal,SL Malinga,0
RAS Lakmal,HDRL Thirimanne,1
RAS Lakmal,MDKJ Perera,2
RAS Lakmal,BKG Mendis,3
RAS Lakmal,N Pradeep,1
