Source,Target,Weight
J Charles,CH Gayle,5
J Charles,MN Samuels,11
J Charles,D Ramdin,6
J Charles,DJ Bravo,11
J Charles,AD Russell,8
J Charles,DJG Sammy,6
J Charles,CR Brathwaite,11
J Charles,S Badree,10
J Charles,JE Taylor,4
J Charles,SJ Benn,6
J Charles,ADS Fletcher,8
J Charles,LMP Simmons,4
J Charles,KA Pollard,5
J Charles,SP Narine,5
J Charles,AR Nurse,0
CH Gayle,MN Samuels,7
CH Gayle,D Ramdin,5
CH Gayle,DJ Bravo,5
CH Gayle,AD Russell,5
CH Gayle,DJG Sammy,5
CH Gayle,CR Brathwaite,8
CH Gayle,S Badree,7
CH Gayle,JE Taylor,4
CH Gayle,SJ Benn,5
CH Gayle,ADS Fletcher,3
CH Gayle,LMP Simmons,2
CH Gayle,KA Pollard,2
CH Gayle,SP Narine,2
CH Gayle,AR Nurse,2
MN Samuels,D Ramdin,6
MN Samuels,DJ Bravo,11
MN Samuels,AD Russell,8
MN Samuels,DJG Sammy,6
MN Samuels,CR Brathwaite,20
MN Samuels,S Badree,18
MN Samuels,JE Taylor,9
MN Samuels,SJ Benn,6
MN Samuels,ADS Fletcher,8
MN Samuels,LMP Simmons,11
MN Samuels,KA Pollard,11
MN Samuels,SP Narine,14
MN Samuels,AR Nurse,1
D Ramdin,DJ Bravo,6
D Ramdin,AD Russell,6
D Ramdin,DJG Sammy,6
D Ramdin,CR Brathwaite,6
D Ramdin,S Badree,6
D Ramdin,JE Taylor,1
D Ramdin,SJ Benn,6
D Ramdin,ADS Fletcher,3
D Ramdin,LMP Simmons,2
D Ramdin,KA Pollard,0
D Ramdin,SP Narine,0
D Ramdin,AR Nurse,0
DJ Bravo,AD Russell,8
DJ Bravo,DJG Sammy,6
DJ Bravo,CR Brathwaite,11
DJ Bravo,S Badree,10
DJ Bravo,JE Taylor,4
DJ Bravo,SJ Benn,6
DJ Bravo,ADS Fletcher,8
DJ Bravo,LMP Simmons,4
DJ Bravo,KA Pollard,5
DJ Bravo,SP Narine,5
DJ Bravo,AR Nurse,0
AD Russell,DJG Sammy,6
AD Russell,CR Brathwaite,8
AD Russell,S Badree,8
AD Russell,JE Taylor,1
AD Russell,SJ Benn,6
AD Russell,ADS Fletcher,5
AD Russell,LMP Simmons,4
AD Russell,KA Pollard,2
AD Russell,SP Narine,2
AD Russell,AR Nurse,0
DJG Sammy,CR Brathwaite,6
DJG Sammy,S Badree,7
DJG Sammy,JE Taylor,1
DJG Sammy,SJ Benn,6
DJG Sammy,ADS Fletcher,3
DJG Sammy,LMP Simmons,2
DJG Sammy,KA Pollard,0
DJG Sammy,SP Narine,0
DJG Sammy,AR Nurse,0
CR Brathwaite,S Badree,19
CR Brathwaite,JE Taylor,10
CR Brathwaite,SJ Benn,6
CR Brathwaite,ADS Fletcher,9
CR Brathwaite,LMP Simmons,11
CR Brathwaite,KA Pollard,11
CR Brathwaite,SP Narine,14
CR Brathwaite,AR Nurse,2
S Badree,JE Taylor,8
S Badree,SJ Benn,6
S Badree,ADS Fletcher,8
S Badree,LMP Simmons,11
S Badree,KA Pollard,9
S Badree,SP Narine,12
S Badree,AR Nurse,1
JE Taylor,SJ Benn,1
JE Taylor,ADS Fletcher,4
JE Taylor,LMP Simmons,3
JE Taylor,KA Pollard,5
JE Taylor,SP Narine,8
JE Taylor,AR Nurse,2
SJ Benn,ADS Fletcher,3
SJ Benn,LMP Simmons,2
SJ Benn,KA Pollard,0
SJ Benn,SP Narine,0
SJ Benn,AR Nurse,0
ADS Fletcher,LMP Simmons,2
ADS Fletcher,KA Pollard,5
ADS Fletcher,SP Narine,5
ADS Fletcher,AR Nurse,1
E Lewis,LMP Simmons,9
E Lewis,KA Pollard,10
E Lewis,SP Narine,13
E Lewis,AR Nurse,1
LMP Simmons,KA Pollard,6
LMP Simmons,SP Narine,9
LMP Simmons,AR Nurse,0
KA Pollard,SP Narine,11
KA Pollard,AR Nurse,1
SP Narine,AR Nurse,1
N Pooran,AR Nurse,0
CAK Walton,AR Nurse,2
KOK Williams,AR Nurse,2
R Powell,AR Nurse,2
JO Holder,AR Nurse,0
JN Mohammed,AR Nurse,1
