Source,Target,Weight,Country
MJ Guptill,KS Williamson,13,New Zealand
MJ Guptill,C Munro,13,New Zealand
MJ Guptill,GD Elliott,13,New Zealand
MJ Guptill,NLTC Perera,13,New Zealand
MJ Guptill,L Ronchi,13,New Zealand
MJ Guptill,MJ Henry,13,New Zealand
MJ Guptill,MJ McClenaghan,13,New Zealand
MJ Guptill,IS Sodhi,13,New Zealand
MJ Guptill,Mohammad Shahzad,13,New Zealand
MJ Guptill,Mohammad Nabi,13,New Zealand
MJ Guptill,Rashid Khan,13,New Zealand
MJ Guptill,MJ Santner,13,New Zealand
MJ Guptill,AF Milne,13,New Zealand
MJ Guptill,Mohammad Hafeez,13,New Zealand
MJ Guptill,Ahmed Shehzad,13,New Zealand
MJ Guptill,Shoaib Malik,13,New Zealand
MJ Guptill,Umar Akmal,13,New Zealand
MJ Guptill,Shahid Afridi,13,New Zealand
MJ Guptill,Imad Wasim,13,New Zealand
MJ Guptill,Wahab Riaz,13,New Zealand
MJ Guptill,Mohammad Amir,13,New Zealand
MJ Guptill,Tamim Iqbal,13,New Zealand
MJ Guptill,Sabbir Rahman,13,New Zealand
MJ Guptill,Shakib Al,13,New Zealand
MJ Guptill,Mahmudullah,13,New Zealand
MJ Guptill,Mashrafe Mortaza,13,New Zealand
MJ Guptill,Al-Amin Hossain,13,New Zealand
MJ Guptill,Mustafizur Rahman,13,New Zealand
MJ Guptill,Taskin Ahmed,13,New Zealand
MJ Guptill,RG Sharma,13,New Zealand
MJ Guptill,S Dhawan,13,New Zealand
MJ Guptill,V Kohli,13,New Zealand
MJ Guptill,SK Raina,13,New Zealand
MJ Guptill,MS Dhoni,13,New Zealand
MJ Guptill,AJ Finch,13,New Zealand
MJ Guptill,DA Warner,13,New Zealand
MJ Guptill,SPD Smith,13,New Zealand
MJ Guptill,CA Lynn,13,New Zealand
MJ Guptill,SR Watson,13,New Zealand
MJ Guptill,HH Pandya,13,New Zealand
MJ Guptill,JJ Bumrah,13,New Zealand
MJ Guptill,A Nehra,13,New Zealand
MJ Guptill,SE Marsh,13,New Zealand
MJ Guptill,GJ Maxwell,13,New Zealand
MJ Guptill,AJ Tye,13,New Zealand
MJ Guptill,AM Rahane,13,New Zealand
MJ Guptill,S Prasanna,13,New Zealand
MJ Guptill,JJ Roy,13,New Zealand
MJ Guptill,EJG Morgan,13,New Zealand
MJ Guptill,JC Buttler,13,New Zealand
MJ Guptill,CJ Jordan,13,New Zealand
MJ Guptill,AU Rashid,13,New Zealand
MJ Guptill,DJ Willey,13,New Zealand
MJ Guptill,HM Amla,13,New Zealand
MJ Guptill,AB de,13,New Zealand
MJ Guptill,DA Miller,13,New Zealand
MJ Guptill,D Wiese,13,New Zealand
MJ Guptill,CH Morris,13,New Zealand
MJ Guptill,KJ Abbott,13,New Zealand
MJ Guptill,Imran Tahir,13,New Zealand
MJ Guptill,SW Billings,13,New Zealand
MJ Guptill,SL Malinga,13,New Zealand
MJ Guptill,Mohammad Sami,13,New Zealand
MJ Guptill,B Kumar,13,New Zealand
MJ Guptill,A Zampa,13,New Zealand
MJ Guptill,F Behardien,13,New Zealand
MJ Guptill,J Charles,13,New Zealand
MJ Guptill,CH Gayle,13,New Zealand
MJ Guptill,MN Samuels,13,New Zealand
MJ Guptill,DJ Bravo,13,New Zealand
MJ Guptill,AD Russell,13,New Zealand
MJ Guptill,DJG Sammy,13,New Zealand
MJ Guptill,CR Brathwaite,13,New Zealand
MJ Guptill,S Badree,13,New Zealand
MJ Guptill,ADS Fletcher,13,New Zealand
MJ Guptill,LE Plunkett,13,New Zealand
MJ Guptill,E Lewis,13,New Zealand
MJ Guptill,LMP Simmons,13,New Zealand
MJ Guptill,R Dhawan,13,New Zealand
MJ Guptill,JD Unadkat,13,New Zealand
MJ Guptill,YS Chahal,13,New Zealand
MJ Guptill,DS Kulkarni,13,New Zealand
MJ Guptill,LA Dawson,13,New Zealand
MJ Guptill,TS Mills,13,New Zealand
MJ Guptill,KA Pollard,13,New Zealand
MJ Guptill,SP Narine,13,New Zealand
MJ Guptill,A Mishra,13,New Zealand
MJ Guptill,GJ Bailey,13,New Zealand
MJ Guptill,MC Henriques,13,New Zealand
MJ Guptill,Babar Azam,13,New Zealand
MJ Guptill,Sohail Tanvir,13,New Zealand
MJ Guptill,Hasan Ali,13,New Zealand
MJ Guptill,CAK Walton,13,New Zealand
MJ Guptill,KOK Williams,13,New Zealand
MJ Guptill,Rumman Raees,13,New Zealand
MJ Guptill,Rubel Hossain,13,New Zealand
MJ Guptill,JDS Neesham,13,New Zealand
MJ Guptill,JT Smuts,13,New Zealand
MJ Guptill,M Klinger,13,New Zealand
MJ Guptill,Kamran Akmal,13,New Zealand
MJ Guptill,Shadab Khan,13,New Zealand
MJ Guptill,T Shamsi,13,New Zealand
MJ Guptill,DJ Malan,13,New Zealand
MJ Guptill,KD Karthik,13,New Zealand
MJ Guptill,Kuldeep Yadav,13,New Zealand
MJ Guptill,Sohail Khan,13,New Zealand
MJ Guptill,DT Christian,13,New Zealand
KS Williamson,C Munro,17,New Zealand
KS Williamson,GD Elliott,17,New Zealand
KS Williamson,NLTC Perera,17,New Zealand
KS Williamson,L Ronchi,17,New Zealand
KS Williamson,MJ Henry,17,New Zealand
KS Williamson,MJ McClenaghan,17,New Zealand
KS Williamson,IS Sodhi,17,New Zealand
KS Williamson,Mohammad Shahzad,17,New Zealand
KS Williamson,Mohammad Nabi,17,New Zealand
KS Williamson,Rashid Khan,17,New Zealand
KS Williamson,MJ Santner,17,New Zealand
KS Williamson,AF Milne,17,New Zealand
KS Williamson,Mohammad Hafeez,17,New Zealand
KS Williamson,Ahmed Shehzad,17,New Zealand
KS Williamson,Shoaib Malik,17,New Zealand
KS Williamson,Umar Akmal,17,New Zealand
KS Williamson,Shahid Afridi,17,New Zealand
KS Williamson,Imad Wasim,17,New Zealand
KS Williamson,Wahab Riaz,17,New Zealand
KS Williamson,Mohammad Amir,17,New Zealand
KS Williamson,Tamim Iqbal,17,New Zealand
KS Williamson,Sabbir Rahman,17,New Zealand
KS Williamson,Shakib Al,17,New Zealand
KS Williamson,Mahmudullah,17,New Zealand
KS Williamson,Mashrafe Mortaza,17,New Zealand
KS Williamson,Al-Amin Hossain,17,New Zealand
KS Williamson,Mustafizur Rahman,17,New Zealand
KS Williamson,Taskin Ahmed,17,New Zealand
KS Williamson,RG Sharma,17,New Zealand
KS Williamson,S Dhawan,17,New Zealand
KS Williamson,V Kohli,17,New Zealand
KS Williamson,SK Raina,17,New Zealand
KS Williamson,MS Dhoni,17,New Zealand
KS Williamson,AJ Finch,17,New Zealand
KS Williamson,DA Warner,17,New Zealand
KS Williamson,SPD Smith,17,New Zealand
KS Williamson,CA Lynn,17,New Zealand
KS Williamson,SR Watson,17,New Zealand
KS Williamson,HH Pandya,17,New Zealand
KS Williamson,JJ Bumrah,17,New Zealand
KS Williamson,A Nehra,17,New Zealand
KS Williamson,SE Marsh,17,New Zealand
KS Williamson,GJ Maxwell,17,New Zealand
KS Williamson,AJ Tye,17,New Zealand
KS Williamson,AM Rahane,17,New Zealand
KS Williamson,S Prasanna,17,New Zealand
KS Williamson,JJ Roy,17,New Zealand
KS Williamson,EJG Morgan,17,New Zealand
KS Williamson,JC Buttler,17,New Zealand
KS Williamson,CJ Jordan,17,New Zealand
KS Williamson,AU Rashid,17,New Zealand
KS Williamson,DJ Willey,17,New Zealand
KS Williamson,HM Amla,17,New Zealand
KS Williamson,AB de,17,New Zealand
KS Williamson,DA Miller,17,New Zealand
KS Williamson,D Wiese,17,New Zealand
KS Williamson,CH Morris,17,New Zealand
KS Williamson,KJ Abbott,17,New Zealand
