Source,Target
New Zealand,Sri Lanka
New Zealand,Pakistan
Australia,India
India,Sri Lanka
South Africa,England
Bangladesh,India
India,Pakistan
Bangladesh,Sri Lanka
Bangladesh,Pakistan
Pakistan,Sri Lanka
South Africa,Australia
India,New Zealand
England,West Indies
Afghanistan,Sri Lanka
Australia,New Zealand
Afghanistan,South Africa
Sri Lanka,West Indies
Australia,Bangladesh
Afghanistan,England
Australia,Pakistan
South Africa,West Indies
Bangladesh,New Zealand
England,Sri Lanka
Afghanistan,West Indies
South Africa,Sri Lanka
England,New Zealand
India,West Indies
Sri Lanka,Australia
England,Pakistan
Pakistan,West Indies
India,England
New Zealand,South Africa
South Africa,Bangladesh
New Zealand,West Indies
